Guia,Orden de Compra,CCosto
5397466,4300002731,1509
5397467,4300002731,1601
5397468,4300002731,1520
5397474,4300002731,1590
5397475,4300002731,1588
5397476,4300002731,1598
5397477,4300002731,1600
5397506,4300002731,1526
5397507,4300002731,1527
5399468,4300002731,1566
5399469,4300002731,1589
5399470,4300002731,1609
5399471,4300002731,1558
5399472,4300002731,1610
5399473,4300002731,1608
5399474,4300002731,1575
5399475,4300002731,1571
5399476,4300002731,1564
5399477,4300002731,1570
5399478,4300002731,1572
5399479,4300002731,1574
5399559,4300002731,1586
5399560,4300002731,1519
5399561,4300002731,1507
5399562,4300002731,1552
5399563,4300002731,1556
5399564,4300002731,1524
5399565,4300002731,1508
5399566,4300002731,1521
5399567,4300002731,1555
5399568,4300002731,1553
5399569,4300002731,1545
5399570,4300002731,1525
5399571,4300002731,1550
5399572,4300002731,1557
5399573,4300002731,1551
5399574,4300002731,1522
5399575,4300002731,1561
5399583,4300002731,1535
5399584,4300002731,1531
5399585,4300002731,1549
5399586,4300002731,1529
5399589,4300002731,1515
5399590,4300002731,1602
5399591,4300002731,1504
5399592,4300002731,1503
5399599,4300002731,1530
5399600,4300002731,1539
5399601,4300002731,1537
5399608,4300002731,1541
5399609,4300002731,1523
5399610,4300002731,1533
